date,type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
20110225,PM2.5,35,36,36,26,21,19,21,17,23,37,,42,47,49,53,56,52,58,48,51,41,41,34,32
20110226,PM2.5,26,24,18,22,21,27,26,32,29,30,25,26,25,19,22,18,28,20,29,21,29,17,23,16
20110227,PM2.5,19,18,30,33,27,21,35,55,65,69,66,74,67,64,57,58,58,55,60,72,74,65,53,46
20110228,PM2.5,45,38,34,25,29,38,42,34,29,37,58,67,78,65,65,52,57,61,59,61,50,59,55,65
20110301,PM2.5,63,72,70,75,63,56,49,48,48,47,58,61,54,33,20,14,16,21,15,19,13,16,17,20
20110302,PM2.5,24,29,36,41,50,53,52,51,50,57,53,50,42,36,34,36,45,46,52,48,52,40,36,26
20110303,PM2.5,29,24,30,29,34,33,35,37,39,35,30,26,25,34,34,35,32,35,37,31,29,25,38,28
20110304,PM2.5,31,15,22,16,23,18,20,16,17,22,26,37,40,45,41,44,46,49,55,58,57,48,45,43
20110305,PM2.5,44,41,51,51,53,45,41,34,35,32,27,17,14,21,26,26,30,45,58,59,57,61,72,70
20110306,PM2.5,69,72,67,62,50,47,42,42,47,57,53,72,89,110,110,111,90,65,49,55,71,82,93,94
20110307,PM2.5,94,71,47,18,14,12,15,19,26,35,51,71,84,104,,131,174,177,179,136,101,49,29,24
20110308,PM2.5,21,18,15,12,15,14,16,14,21,21,22,17,25,26,27,25,22,20,21,22,28,21,23,22
20110309,PM2.5,25,23,27,31,28,27,24,34,26,25,17,18,15,18,20,22,31,31,43,33,37,32,38,39
20110310,PM2.5,42,49,50,53,45,47,44,49,51,58,59,60,59,66,53,53,43,47,32,28,30,37,34,30
20110311,PM2.5,26,28,26,30,27,29,29,35,31,32,28,41,45,50,44,43,43,45,45,43,36,34,33,29
20110312,PM2.5,21,16,18,20,21,20,25,28,28,33,38,48,50,51,43,41,41,49,59,65,66,67,68,70
20110313,PM2.5,66,65,68,60,63,51,50,31,33,26,27,23,29,30,28,21,24,24,23,24,24,33,28,27
20110314,PM2.5,26,30,36,29,22,21,21,32,40,70,83,71,46,,32,36,38,39,42,38,40,31,35,33
20110315,PM2.5,42,53,66,69,61,48,45,39,37,28,23,19,16,20,21,20,23,26,31,38,43,45,43,39
20110316,PM2.5,41,37,38,45,51,61,58,70,72,73,63,60,56,58,53,58,48,46,45,41,39,31,37,32
20110317,PM2.5,32,30,36,32,27,18,15,18,26,30,28,26,22,32,33,45,38,50,43,46,38,43,41,37
20110318,PM2.5,38,39,45,41,43,32,34,31,38,38,36,35,38,41,44,38,42,42,47,42,42,38,39,34
20110319,PM2.5,36,39,44,54,58,61,60,49,44,54,69,87,80,81,79,88,83,71,50,50,55,75,87,106
20110320,PM2.5,108,103,87,82,69,55,41,44,43,42,49,69,77,74,74,79,78,81,80,74,62,60,61,63
20110321,PM2.5,61,54,52,50,52,46,39,44,41,51,62,77,69,56,41,38,34,46,51,60,52,38,23,13
20110322,PM2.5,12,12,5,9,8,10,8,5,11,11,16,8,16,11,15,10,18,23,26,30,35,39,42,36
20110323,PM2.5,31,31,36,40,29,24,18,22,21,22,22,21,22,21,24,25,27,24,21,23,26,33,37,35
20110324,PM2.5,39,35,36,33,33,29,29,36,44,46,46,50,53,53,,53,52,60,55,52,42,45,42,37
20110325,PM2.5,29,25,24,24,23,19,15,18,26,34,39,46,57,65,62,68,59,72,60,66,55,52,44,34
20110326,PM2.5,31,23,21,16,20,16,19,16,14,14,11,21,22,24,17,9,17,19,26,19,24,22,25,16
20110327,PM2.5,9,9,14,20,16,14,16,16,24,26,30,25,27,31,31,30,28,29,33,26,30,26,29,21
20110328,PM2.5,18,15,16,17,16,20,25,27,23,21,25,20,14,15,21,28,22,21,12,17,21,26,19,23
20110329,PM2.5,25,32,26,27,25,33,32,35,37,34,40,37,43,40,45,46,48,43,39,42,39,47,48,55
20110330,PM2.5,57,58,48,43,49,59,63,56,54,47,45,42,35,28,22,24,27,26,28,25,26,22,28,26
20110331,PM2.5,29,24,27,25,27,31,35,33,32,27,30,33,33,34,30,39,38,40,41,45,50,50,46,45
20110401,PM2.5,41,36,37,32,40,37,32,32,40,51,52,47,46,45,43,44,45,46,50,49,49,49,51,47
20110402,PM2.5,44,42,51,46,46,38,35,36,39,51,54,53,67,67,,59,60,50,53,42,40,35,40,35
20110403,PM2.5,35,29,38,36,39,35,34,40,38,43,49,61,68,69,62,57,34,30,20,22,18,26,24,18
20110404,PM2.5,8,12,9,5,4,8,13,16,19,24,27,28,34,23,21,14,18,18,21,22,34,32,35,26
20110405,PM2.5,24,26,25,27,24,25,26,27,31,30,29,28,24,24,16,13,9,16,12,22,16,22,16,22
20110406,PM2.5,19,19,24,32,26,21,20,30,31,26,28,28,38,38,39,37,31,36,38,38,31,22,35,50
20110407,PM2.5,,,,,,,,,26,32,50,57,66,66,66,60,57,58,66,67,63,53,43,42
20110408,PM2.5,36,33,34,32,30,22,20,24,31,45,57,52,48,37,44,43,39,36,41,40,33,19,21,21
20110409,PM2.5,30,36,36,38,35,39,41,49,51,55,47,51,47,50,43,39,37,33,37,33,41,33,37,33
20110410,PM2.5,37,36,33,26,23,22,23,30,38,58,66,69,71,76,74,64,64,74,87,85,81,78,84,81
20110411,PM2.5,82,76,76,73,71,64,53,42,47,50,54,49,50,62,68,98,110,133,119,111,95,87,77,63
20110412,PM2.5,46,29,29,28,28,23,24,25,22,15,15,19,21,22,16,13,15,16,21,16,23,26,26,20
20110413,PM2.5,19,17,19,16,16,17,16,25,33,47,62,63,66,51,45,42,47,54,59,63,62,49,39,36
20110414,PM2.5,35,48,50,63,56,57,45,48,53,65,70,80,90,93,,83,77,74,84,77,84,81,79,66
20110415,PM2.5,56,56,55,52,44,46,47,52,53,66,75,73,62,60,57,61,61,66,66,66,64,60,56,49
20110416,PM2.5,45,38,38,41,38,39,34,40,50,63,67,63,55,54,47,57,54,61,59,62,64,56,45,34
20110417,PM2.5,23,25,18,19,20,25,25,23,26,24,21,19,19,23,14,8,9,14,23,25,24,23,19,22
20110418,PM2.5,24,27,27,23,26,26,25,21,24,30,33,37,38,35,37,35,44,44,51,49,49,48,49,50
20110419,PM2.5,58,58,59,57,53,48,36,36,36,41,36,39,36,34,30,29,37,41,42,37,36,32,36,33
20110420,PM2.5,41,30,33,34,37,34,27,29,28,33,34,31,25,24,20,19,20,24,24,25,24,30,24,29
20110421,PM2.5,25,23,21,22,30,27,16,20,27,37,35,39,,,46,46,53,59,64,63,53,44,34,34
20110422,PM2.5,34,28,25,24,26,22,25,31,38,39,46,65,63,53,40,43,49,44,41,33,34,36,32,25
20110423,PM2.5,21,28,36,45,57,72,85,87,90,91,85,80,72,66,60,47,41,23,22,24,29,31,31,31
20110424,PM2.5,24,25,26,26,20,20,22,20,17,16,20,19,22,26,30,25,23,24,28,24,19,24,21,20
20110425,PM2.5,17,15,19,15,18,17,16,20,22,29,35,45,,,,,,40,61,68,71,63,47,36
20110426,PM2.5,21,18,18,21,20,12,21,21,28,37,57,75,75,66,68,65,56,48,46,56,56,55,60,55
20110427,PM2.5,49,40,39,40,44,45,52,53,56,49,45,47,53,61,67,70,78,67,62,49,50,51,53,58
20110428,PM2.5,62,64,62,61,55,57,55,54,52,48,57,55,58,53,53,54,55,55,55,55,56,56,59,56
20110429,PM2.5,51,44,46,50,53,49,52,50,50,46,53,57,56,50,58,65,81,84,76,62,53,52,53,46
20110430,PM2.5,45,39,38,44,58,65,73,75,87,89,80,87,84,96,94,100,99,108,105,103,90,81,65,51
20110501,PM2.5,40,37,29,31,29,33,23,23,19,31,47,49,45,28,21,28,30,43,41,41,39,35,41,35
20110502,PM2.5,30,25,23,24,20,15,21,22,27,38,43,46,36,39,42,39,33,31,29,34,40,43,41,30
20110503,PM2.5,32,31,43,43,56,59,64,54,54,57,61,56,50,43,39,28,26,19,20,13,22,18,17,7
20110504,PM2.5,17,26,33,29,30,30,29,27,20,24,20,26,22,20,20,14,18,10,17,13,14,16,15,21
20110505,PM2.5,12,16,15,20,25,22,28,20,17,17,16,22,25,29,31,23,31,36,43,43,47,37,30,23
20110506,PM2.5,26,26,11,20,15,15,13,34,44,63,53,58,47,52,58,57,48,44,37,55,50,61,49,55
20110507,PM2.5,48,47,45,39,31,14,18,27,40,41,43,43,47,51,57,62,47,40,25,35,47,57,58,45
20110508,PM2.5,38,38,31,36,35,39,42,45,49,47,41,35,31,23,21,25,32,39,40,42,43,42,41,35
20110509,PM2.5,33,38,40,44,35,29,19,17,21,22,21,21,18,28,32,46,43,39,25,16,14,15,13,10
20110510,PM2.5,7,9,6,23,34,38,27,26,33,32,33,33,30,23,19,14,14,14,18,17,19,17,13,8
20110511,PM2.5,10,21,28,30,32,30,29,28,30,32,26,,,25,18,27,28,37,33,35,31,28,25,23
20110512,PM2.5,24,21,23,20,18,18,23,24,25,27,37,43,39,34,23,18,12,14,14,18,16,14,15,13
20110513,PM2.5,13,15,19,23,17,20,27,46,59,65,63,55,52,50,63,70,84,77,72,54,51,52,59,64
20110514,PM2.5,68,68,72,67,65,49,47,38,40,23,15,11,14,13,16,21,32,33,32,33,36,47,52,49
20110515,PM2.5,39,27,25,26,26,28,20,22,20,31,43,50,47,37,38,34,30,17,16,15,14,20,14,23
20110516,PM2.5,19,27,26,19,14,13,13,13,20,25,25,19,16,24,18,19,11,15,19,24,20,21,11,18
20110517,PM2.5,11,18,16,14,14,9,10,3,6,12,18,17,15,11,18,16,21,16,18,8,11,6,10,8
20110518,PM2.5,10,10,11,15,19,17,13,10,13,15,14,9,12,11,19,20,22,16,13,18,17,15,8,5
20110519,PM2.5,14,15,22,12,8,6,10,17,18,24,33,40,43,43,49,45,41,27,35,36,41,29,19,14
20110520,PM2.5,17,22,23,20,19,15,15,10,19,30,50,59,55,52,52,63,73,73,71,57,56,49,45,38
20110521,PM2.5,30,26,22,20,16,10,13,15,35,40,59,61,69,68,58,50,46,36,40,35,45,41,31,29
20110522,PM2.5,25,34,31,28,22,22,25,28,31,38,36,31,25,28,33,31,35,29,36,29,33,26,29,20
20110523,PM2.5,27,28,30,26,17,14,16,16,20,28,40,52,48,56,50,44,30,23,25,29,28,23,11,14
20110524,PM2.5,11,15,10,13,12,13,12,6,4,9,8,11,6,14,19,15,14,15,17,16,11,11,12,10
20110525,PM2.5,11,9,14,16,17,13,13,16,25,20,,26,21,35,37,35,36,31,31,25,19,17,18,29
20110526,PM2.5,,,,,,,,,18,15,20,16,21,18,26,21,25,25,32,29,28,21,24,20
20110527,PM2.5,15,12,15,19,15,12,8,14,17,22,15,13,29,50,75,74,67,37,24,18,20,19,20,26
20110528,PM2.5,27,18,14,10,14,8,5,7,11,13,13,11,16,17,22,21,22,24,24,23,20,20,23,21
20110529,PM2.5,22,19,15,20,13,17,13,18,25,24,29,28,32,31,30,33,32,33,31,32,34,37,40,41
20110530,PM2.5,38,34,28,23,24,26,28,28,31,33,37,42,48,48,46,39,35,27,23,24,32,39,41,37
20110531,PM2.5,33,33,25,28,27,28,26,25,38,53,67,77,84,84,71,62,56,61,55,58,50,56,48,52
20110601,PM2.5,38,46,52,62,59,45,45,50,60,58,60,62,58,46,42,37,35,26,33,35,36,26,28,27
20110602,PM2.5,33,24,26,18,21,15,16,13,13,27,34,45,38,36,26,27,23,15,11,15,26,28,22,20
20110603,PM2.5,24,21,19,11,19,12,13,13,13,22,26,43,48,49,46,48,53,59,56,54,59,57,55,44
20110604,PM2.5,41,34,28,23,18,11,14,22,42,54,66,63,66,63,68,66,70,65,62,60,61,60,52,51
20110605,PM2.5,46,42,33,27,25,19,21,19,30,40,45,50,41,44,41,42,34,25,24,27,33,36,34,32
20110606,PM2.5,34,30,27,25,27,30,22,25,28,39,41,40,38,30,31,28,30,27,20,21,19,23,24,26
20110607,PM2.5,28,23,16,14,18,14,20,14,19,20,21,25,24,26,36,33,39,29,29,25,24,23,26,27
20110608,PM2.5,31,24,20,16,16,15,17,22,27,23,21,18,28,26,30,23,24,19,20,23,27,27,26,24
20110609,PM2.5,22,26,27,22,18,17,19,19,30,33,45,43,53,47,52,38,36,28,43,48,49,47,41,39
20110610,PM2.5,33,31,25,24,24,26,33,32,47,41,,48,57,44,41,36,35,33,31,28,24,25,21,27
20110611,PM2.5,18,18,17,15,14,15,16,19,18,26,24,26,28,32,38,36,35,26,29,30,37,33,33,26
20110612,PM2.5,29,25,26,17,20,23,24,24,23,27,27,20,28,27,34,21,23,22,24,23,23,20,19,21
20110613,PM2.5,21,12,8,5,16,16,17,14,19,24,30,33,36,27,27,24,25,17,23,18,22,13,15,13
20110614,PM2.5,11,12,7,9,6,12,9,13,17,24,29,,36,26,29,32,34,30,25,22,22,32,32,33
20110615,PM2.5,20,23,21,17,19,18,23,23,27,30,28,20,28,40,37,33,31,32,29,25,22,25,24,22
20110616,PM2.5,20,16,20,16,24,16,17,21,32,40,46,47,52,45,45,39,39,39,43,41,40,31,33,25
20110617,PM2.5,27,20,20,14,16,22,28,29,33,35,33,39,39,52,36,39,27,28,19,24,27,35,30,28
20110618,PM2.5,23,20,21,21,25,26,24,26,31,36,35,36,31,29,15,16,8,19,16,25,22,21,16,14
20110619,PM2.5,11,12,11,13,13,15,20,15,25,24,34,27,34,36,30,32,22,29,22,22,22,23,19,14
20110620,PM2.5,7,9,4,2,0,5,12,12,23,22,35,21,18,11,12,15,17,14,12,9,15,15,14,9
20110621,PM2.5,13,10,11,5,5,4,3,15,20,26,19,19,22,19,17,10,10,12,16,18,12,5,9,7
20110622,PM2.5,10,6,14,18,15,13,11,21,15,16,13,,29,,,,,,,,,,,
20110623,PM2.5,,,,,,,,,,,,,29,22,23,18,16,21,20,20,12,16,17,16
20110624,PM2.5,10,4,6,11,16,13,12,10,18,15,18,11,6,10,14,11,10,11,17,17,16,,,
20110627,PM2.5,,,,,,,,,,,,16,14,16,14,19,13,22,21,30,24,28,23,21
20110628,PM2.5,16,15,11,10,6,7,9,11,15,15,18,10,5,12,13,18,13,17,18,23,18,20,15,16
20110629,PM2.5,8,11,8,14,9,16,14,17,16,23,25,19,15,22,24,26,21,26,26,24,21,13,15,9
20110630,PM2.5,12,9,14,12,11,12,14,19,16,23,30,38,42,41,42,44,37,34,39,40,40,29,31,28
20110701,PM2.5,22,18,12,11,9,13,10,18,18,33,30,31,27,31,35,36,35,37,41,34,37,32,38,26
20110702,PM2.5,22,16,20,19,23,21,25,26,29,28,30,35,36,38,33,32,30,35,40,44,35,28,19,24
20110703,PM2.5,27,28,30,25,25,23,28,30,31,29,33,32,39,41,42,40,33,33,37,31,30,27,32,25
20110704,PM2.5,16,17,25,29,23,22,20,26,29,27,29,28,33,29,37,41,47,31,29,22,28,27,26,22
20110705,PM2.5,15,13,20,18,21,20,20,23,29,37,34,33,37,47,43,42,36,39,43,41,37,27,28,26
20110706,PM2.5,20,24,19,16,8,20,25,31,31,42,45,48,50,51,51,53,48,38,28,26,27,26,18,23
20110707,PM2.5,19,27,22,25,19,17,12,20,32,46,55,61,59,55,40,38,36,37,38,36,41,38,34,33
20110708,PM2.5,27,30,23,19,20,23,26,36,36,38,29,24,26,27,33,42,40,44,31,38,31,32,25,27
20110709,PM2.5,31,28,26,26,33,40,36,43,33,30,19,26,30,34,27,27,28,27,26,22,35,43,51,44
20110710,PM2.5,36,35,34,38,34,36,34,37,38,33,37,36,41,32,21,18,18,22,16,16,16,20,17,18
20110711,PM2.5,19,16,20,18,22,16,10,14,19,22,20,19,19,19,16,16,16,15,11,10,8,7,8,6
20110712,PM2.5,13,10,19,19,17,17,12,16,18,23,29,21,17,10,14,15,18,17,17,15,15,20,21,21
